Stage,Timestamp,Luminance,PupilDiameterLeft,PupilDiameterRight,GazeLeftX,GazeLeftY,GazeLeftZ,GazeRightX,GazeRightY,GazeRightZ
Calibration,177172.000,0,4.659302,4.235306,0.01550293,-0.01559448,0.9997559,0.05545044,-0.001693726,0.9984589,
Calibration,177255.000,0,4.685822,4.290695,0.01062012,-0.01295471,0.9998474,0.0539093,0.002059937,0.9985352,
Calibration,177339.000,0,4.707718,4.324356,0.009841919,-0.01132202,0.9998779,0.05281067,0.003067017,0.9985962,
Calibration,177422.000,0,4.702667,4.346436,0.008422852,-0.008560181,0.9999237,0.0509491,0.004074097,0.9986877,
Calibration,177505.000,0,4.652985,4.36496,0.01168823,-0.001861572,0.9999237,0.04919434,0.007324219,0.9987488,
Calibration,177589.000,0,-1,4.233353,0,0,0,0.05039978,-0.03144836,0.99823,
Calibration,177672.000,0,4.725876,4.536865,0.0275116,0.01675415,0.9994659,0.05888367,0.03256226,0.9977264,
Calibration,177755.000,0,4.636078,4.473495,-0.007064819,0.01022339,0.9999084,0.06063843,0.02084351,0.9979401,
Calibration,177838.000,0,4.73732,4.436615,0.00869751,0.02438354,0.9996643,0.0592804,0.02592468,0.9978943,
Calibration,177922.000,0,4.736435,4.500427,0.01586914,0.02113342,0.999649,0.05812073,0.02340698,0.9980316,
Calibration,178005.000,0,4.745178,4.512726,0.01707458,0.02381897,0.9995575,0.05392456,0.02301025,0.9982758,
Calibration,178088.000,0,4.742004,4.501633,0.01348877,0.02861023,0.9994965,0.05343628,0.02412415,0.9982758,
Calibration,178172.000,0,4.683884,4.525055,0.01037598,0.03135681,0.9994507,0.05003357,0.02824402,0.9983368,
Calibration,178255.000,0,4.709854,4.537521,0.01315308,0.03179932,0.9994049,0.05259705,0.0300293,0.9981537,
Calibration,178338.000,0,4.759186,4.545197,0.01115417,0.03161621,0.9994354,0.05073547,0.03538513,0.9980774,
Calibration,178422.000,0,4.782959,4.538528,0.01219177,0.03465271,0.9993134,0.04815674,0.03555298,0.9981995,
Calibration,178505.000,0,4.817062,4.513687,0.01203918,0.03587341,0.9992828,0.04605103,0.03396606,0.9983521,
Calibration,178588.000,0,4.810059,4.547729,0.01127625,0.03613281,0.9992828,0.04347229,0.03755188,0.9983368,
Calibration,178672.000,0,4.827515,4.562256,0.009521484,0.03700256,0.9992676,0.04386902,0.03659058,0.9983521,
Calibration,178755.000,0,4.827408,4.565262,0.008605957,0.03689575,0.9992676,0.04217529,0.0393219,0.9983215,
Calibration,178838.000,0,4.859299,4.567337,0.006790161,0.03668213,0.9992981,0.03941345,0.03663635,0.9985504,
Calibration,178922.000,0,4.855713,4.5979,0.007095337,0.03773499,0.9992523,0.03512573,0.03369141,0.9988098,
Calibration,179005.000,0,4.833191,4.611038,0.006500244,0.0377655,0.9992523,0.03683472,0.02827454,0.9989166,
Calibration,179088.000,0,4.869293,4.617126,0.004440308,0.03892517,0.9992218,0.03569031,0.02937317,0.9989166,
Calibration,179171.000,0,4.892731,4.665298,0.002288818,0.03842163,0.9992523,0.02975464,0.03744507,0.9988556,
Calibration,179255.000,0,4.912506,4.659683,0.001480103,0.03936768,0.9992218,0.02835083,0.03918457,0.9988251,
Calibration,179338.000,0,4.958054,4.710724,-0.0008850098,0.03903198,0.9992371,0.02574158,0.04084778,0.9988251,
Calibration,179421.000,0,4.949554,4.712006,0.0009307861,0.03994751,0.9991913,0.02603149,0.03805542,0.9989319,
Calibration,179505.000,0,4.947586,4.717377,-0.0001373291,0.04252625,0.9990845,0.02507019,0.03799438,0.9989624,
Calibration,179588.000,0,4.949326,4.752502,-0.000579834,0.04208374,0.9990997,0.02416992,0.03837585,0.9989624,
Calibration,179671.000,0,4.942642,4.751389,0.002883911,0.04170227,0.999115,0.01916504,0.03704834,0.999115,
Calibration,179755.000,0,4.952454,4.755981,0.0003204346,0.03971863,0.9992065,0.01870728,0.0372467,0.9991302,
Calibration,179838.000,0,4.955032,4.823669,-0.001586914,0.04020691,0.999176,0.01921082,0.04089355,0.9989777,
Calibration,179921.000,0,4.948349,4.793961,-0.002670288,0.04156494,0.9991302,0.01779175,0.03839111,0.9990997,
Calibration,180005.000,0.05099837,4.978531,4.797043,-0.002944946,0.04246521,0.9990845,0.02230835,0.03488159,0.9991302,
Calibration,180113.000,0.05099837,4.960236,4.831711,-0.005706787,0.04199219,0.9990997,0.01797485,0.04096985,0.9989929,
Calibration,180221.000,0.05099837,4.952194,4.804749,-0.005859375,0.04023743,0.9991608,0.01638794,0.0411377,0.9990082,
Calibration,180330.000,0.05099837,4.89212,4.714325,-0.004699707,0.03721619,0.9992828,0.01499939,0.03785706,0.9991608,
Calibration,180438.000,0.05099837,4.393112,4.48291,-0.009033203,0.0393219,0.999176,0.01704407,0.04226685,0.9989471,
Calibration,180546.000,0.05099837,4.356628,4.249374,-0.01678467,0.04226685,0.9989624,0.02404785,0.05015564,0.9984436,
Calibration,180646.000,0.05099837,4.284103,4.043121,-0.09136963,-0.01638794,0.9956665,-0.008789063,-0.01997375,0.9997559,
Calibration,180746.000,0.05099837,4.324005,3.993515,-0.0962677,-0.02658081,0.9949951,-0.006317139,-0.02668762,0.9996185,
Calibration,180854.000,0.05099837,4.323181,4.048279,-0.09841919,-0.02572632,0.9947968,-0.004180908,-0.02223206,0.9997406,
Calibration,180963.000,0.05099837,4.380432,4.082779,-0.1085968,-0.02476501,0.9937744,-0.0002441406,-0.02157593,0.9997559,
Calibration,181063.000,0.05099837,4.383133,4.094315,-0.110321,-0.02296448,0.9936218,0.009811401,-0.02288818,0.9996796,
Calibration,181163.000,0.05099837,4.399673,4.165054,-0.1215973,-0.02359009,0.9922943,0.01039124,-0.02148438,0.9997101,
Calibration,181271.000,0.05099837,4.440445,4.188477,-0.1263428,-0.02583313,0.9916382,0.01445007,-0.02131653,0.9996643,
Calibration,181371.000,0.05099837,4.436707,4.225861,-0.129364,-0.02560425,0.9912567,0.01622009,-0.02178955,0.9996185,
Calibration,181479.000,0.05099837,4.462433,4.276413,-0.1317291,-0.02561951,0.9909515,0.01800537,-0.01589966,0.9997101,
Calibration,181579.000,0.05099837,4.49472,4.320877,-0.1324615,-0.02626038,0.9908295,0.01583862,-0.01615906,0.9997406,
Calibration,181696.000,0.05099837,4.540878,4.399246,-0.1305695,-0.02311707,0.9911652,0.0193634,-0.01626587,0.9996796,
